name,popularity,price,rating,distance,latitude,longitude,ll,poiCat
Inn,9.67,2,,36,41.765862,-87.614787,-45.848925,restaurant
Roy's Soul Food,8.93,1,,45,41.765862,-87.614787,-45.848925,restaurant
Sammy Submarine,,,,69,41.765862,-87.614787,-45.848925,restaurant
Sunny Submarine,9.97,1,,70,41.765862,-87.614787,-45.848925,restaurant
Gold Post Lounge,,,,180,41.765862,-87.614787,-45.848925,restaurant
Grand Pa S Barbeque,,,,413,41.765862,-87.614787,-45.848925,restaurant
Taurus Flavors,,,,548,41.765862,-87.614787,-45.848925,restaurant
Front Yard Jerk Grille,1.28,2,,604,41.765862,-87.614787,-45.848925,restaurant
The Original Babas,9.59,2,63,607,41.765862,-87.614787,-45.848925,restaurant
Baba's Famous Steak & Lemonade,6.74,1,,609,41.765862,-87.614787,-45.848925,restaurant
Mexwall Street,,,,291,41.870959,-87.700259,-45.8293,restaurant
Brother's Five,5.11,,,512,41.870959,-87.700259,-45.8293,restaurant
Crazy Bird Chicken,,,,528,41.870959,-87.700259,-45.8293,restaurant
Joe Willie's Sea Food,,,,575,41.870959,-87.700259,-45.8293,restaurant
J & R Express Shrimp,8.94,3,,586,41.870959,-87.700259,-45.8293,restaurant
Subway,9.21,1,70,621,41.870959,-87.700259,-45.8293,restaurant
J & J Fish,9.71,1,,624,41.870959,-87.700259,-45.8293,restaurant
Chinese Kitchen,9.67,1,,624,41.870959,-87.700259,-45.8293,restaurant
McDonald's,9.98,1,50,677,41.870959,-87.700259,-45.8293,restaurant
Sharks Fish & Chicken,9.64,1,,678,41.870959,-87.700259,-45.8293,restaurant
La Chiquita Bakery,6.26,1,,393,41.775144,-87.708129,-45.932985,restaurant
La Fogata,2.41,1,,395,41.775144,-87.708129,-45.932985,restaurant
Burger King,9.94,1,54,403,41.775144,-87.708129,-45.932985,restaurant
La Pilluelita de Michoacán,,,,445,41.775144,-87.708129,-45.932985,restaurant
Fast Food El Mexicano,2.08,1,,453,41.775144,-87.708129,-45.932985,restaurant
The Sandwich Break,,,,463,41.775144,-87.708129,-45.932985,restaurant
Bambinos Bakery,,,,493,41.775144,-87.708129,-45.932985,restaurant
Pepes Mexican Restaura,9.52,1,82,510,41.775144,-87.708129,-45.932985,restaurant
El Pollo Real #2,,,,527,41.775144,-87.708129,-45.932985,restaurant
Subway,9.75,1,66,559,41.775144,-87.708129,-45.932985,restaurant
J & L Lounge,6.52,,,30,41.9424235,-87.74713,-45.8047065,restaurant
Poncitlan Five,9.56,1,,30,41.9424235,-87.74713,-45.8047065,restaurant
KFC,9.5,1,53,336,41.9424235,-87.74713,-45.8047065,restaurant
Delta Restaurant,6,,,376,41.9424235,-87.74713,-45.8047065,restaurant
McDonald's,9.98,1,62,379,41.9424235,-87.74713,-45.8047065,restaurant
New Delta Family Restaurant,,,,388,41.9424235,-87.74713,-45.8047065,restaurant
Chinese Kitchen,9.39,1,,389,41.9424235,-87.74713,-45.8047065,restaurant
Burrito King,8.91,1,,392,41.9424235,-87.74713,-45.8047065,restaurant
Barca,9.26,1,,400,41.9424235,-87.74713,-45.8047065,restaurant
Chico's Sports Bar & Grill,,,,461,41.9424235,-87.74713,-45.8047065,restaurant
For the Good Times Lounge,9.48,2,,203,41.791198,-87.671949,-45.880751,restaurant
56th st harold Grill and waffles,,,,598,41.791198,-87.671949,-45.880751,restaurant
Harold's Chicken Shack,9.38,1,,609,41.791198,-87.671949,-45.880751,restaurant
See Thru Chinese Kitchen,9.36,1,,708,41.791198,-87.671949,-45.880751,restaurant
Sea Shell Fish And Chicken,,,,710,41.791198,-87.671949,-45.880751,restaurant
White Castle,9.51,1,55,724,41.791198,-87.671949,-45.880751,restaurant
Seashell Restaurant,9.19,1,71,739,41.791198,-87.671949,-45.880751,restaurant
John's Drive In,9.98,2,,786,41.791198,-87.671949,-45.880751,restaurant
Glass House Lounge,9.23,3,,23,41.749896,-87.643693,-45.893797,restaurant
Subway,9.55,1,67,53,41.749896,-87.643693,-45.893797,restaurant
Shark's Fish & Chicken,9.48,3,69,56,41.749896,-87.643693,-45.893797,restaurant
Ho Ho Restaurant,9.01,1,61,80,41.749896,-87.643693,-45.893797,restaurant
