name,rating,price,distance,latitude,longitude,ll,poi_cat
Roy's Soul Food,70.0,1,45.72866632252995,41.765862,-87.614787,41.765862%2C-87.614787,restaurant
Sunny Sub,70.0,1,57.37269866720627,41.765862,-87.614787,41.765862%2C-87.614787,restaurant
Uncle Don Ray's,30.0,1,417.06600409505137,41.765862,-87.614787,41.765862%2C-87.614787,restaurant
Southtown Sub,80.0,1,513.6896346752303,41.765862,-87.614787,41.765862%2C-87.614787,restaurant
Baba's Famous Steak & Lemonade,50.0,1,607.7300345350545,41.765862,-87.614787,41.765862%2C-87.614787,restaurant
Front Yard Jerk Grille,70.0,2,609.9421202779774,41.765862,-87.614787,41.765862%2C-87.614787,restaurant
Margarita's Pizzeria II,50.0,2,812.0964152321177,41.765862,-87.614787,41.765862%2C-87.614787,restaurant
Market Fisheries,80.0,1,818.2972350491586,41.765862,-87.614787,41.765862%2C-87.614787,restaurant
Harold's Chicken,40.0,1,829.746631168561,41.765862,-87.614787,41.765862%2C-87.614787,restaurant
Mabe's Deli,90.0,2,843.6797217357125,41.765862,-87.614787,41.765862%2C-87.614787,restaurant
Subway,70.0,1,622.4180282492935,41.870959,-87.700259,41.870959%2C-87.700259,restaurant
J & J Fish,70.0,1,639.5905742008673,41.870959,-87.700259,41.870959%2C-87.700259,restaurant
Chinese Kitchen,50.0,1,661.5797347112709,41.870959,-87.700259,41.870959%2C-87.700259,restaurant
Sharks Fish & Chicken,60.0,1,675.9053933786603,41.870959,-87.700259,41.870959%2C-87.700259,restaurant
McDonald's,20.0,1,677.8245859880276,41.870959,-87.700259,41.870959%2C-87.700259,restaurant
Pete's Place,80.0,1,694.6762209841339,41.870959,-87.700259,41.870959%2C-87.700259,restaurant
Murry Fish & Chicken,60.0,1,889.523264235594,41.870959,-87.700259,41.870959%2C-87.700259,restaurant
Taco Bell,50.0,1,919.6434538823676,41.870959,-87.700259,41.870959%2C-87.700259,restaurant
Star Gyros,60.0,2,996.5260849330884,41.870959,-87.700259,41.870959%2C-87.700259,restaurant
Dave's Red Hots,100.0,1,1058.3531383972106,41.870959,-87.700259,41.870959%2C-87.700259,restaurant
Burger King,40.0,1,404.0737619539318,41.775144,-87.708129,41.775144%2C-87.708129,restaurant
La Fogata,90.0,2,456.1274470993508,41.775144,-87.708129,41.775144%2C-87.708129,restaurant
Pepe's Mexican Restaurant,80.0,2,500.7853315074536,41.775144,-87.708129,41.775144%2C-87.708129,restaurant
El Pollo Real #2,80.0,1,527.6563244428386,41.775144,-87.708129,41.775144%2C-87.708129,restaurant
Subway,40.0,1,559.3468186990264,41.775144,-87.708129,41.775144%2C-87.708129,restaurant
Tacos Villa,90.0,1,641.5880853522848,41.775144,-87.708129,41.775144%2C-87.708129,restaurant
Cholie's Pizza,50.0,1,751.5776459312976,41.775144,-87.708129,41.775144%2C-87.708129,restaurant
La Mixteca Poblana,80.0,1,793.985797973803,41.775144,-87.708129,41.775144%2C-87.708129,restaurant
Palermo's Italian Restaurant,80.0,2,865.3021957895276,41.775144,-87.708129,41.775144%2C-87.708129,restaurant
Little Dennis,90.0,1,872.9141833207244,41.775144,-87.708129,41.775144%2C-87.708129,restaurant
Poncitlan Five,80.0,1,19.67889065898519,41.9424235,-87.74713,41.9424235%2C-87.74713,restaurant
KFC,40.0,1,336.30408127243174,41.9424235,-87.74713,41.9424235%2C-87.74713,restaurant
Chinese Kitchen,50.0,1,376.72282471078114,41.9424235,-87.74713,41.9424235%2C-87.74713,restaurant
New Delta Family Restaurant,100.0,1,379.79334065867465,41.9424235,-87.74713,41.9424235%2C-87.74713,restaurant
McDonald's,30.0,1,380.18314847702607,41.9424235,-87.74713,41.9424235%2C-87.74713,restaurant
Burrito King,70.0,1,393.08951544064456,41.9424235,-87.74713,41.9424235%2C-87.74713,restaurant
Nick's Hi-Ho Cafe,90.0,1,484.4337533929258,41.9424235,-87.74713,41.9424235%2C-87.74713,restaurant
Chop Suey King Chinese Restaurant,70.0,1,485.3383193868187,41.9424235,-87.74713,41.9424235%2C-87.74713,restaurant
China Chef,60.0,1,516.6439945943985,41.9424235,-87.74713,41.9424235%2C-87.74713,restaurant
Buenos Aires Deli,90.0,2,588.4251779228631,41.9424235,-87.74713,41.9424235%2C-87.74713,restaurant
Supreme Fish and Steak Hoagie,100.0,1,645.3404611052847,41.791198,-87.671949,41.791198%2C-87.671949,restaurant
Subway,20.0,1,714.7539570252225,41.791198,-87.671949,41.791198%2C-87.671949,restaurant
Seashell Restaurant,80.0,1,730.611228344811,41.791198,-87.671949,41.791198%2C-87.671949,restaurant
Ho Ho Restaurant,80.0,1,51.73298568753173,41.749896,-87.643693,41.749896%2C-87.643693,restaurant
Subway,20.0,1,53.09434027050371,41.749896,-87.643693,41.749896%2C-87.643693,restaurant
Jamaica Jerk Villa,60.0,2,86.95678758674896,41.749896,-87.643693,41.749896%2C-87.643693,restaurant
Jb Gyros,20.0,1,90.10333836098236,41.749896,-87.643693,41.749896%2C-87.643693,restaurant
Salaam Restaurant and Bakery,80.0,2,190.2339911150272,41.749896,-87.643693,41.749896%2C-87.643693,restaurant
Billy's Prime Fish & Hoagie,70.0,1,204.7514612898838,41.749896,-87.643693,41.749896%2C-87.643693,restaurant
Italian Fiesta Pizzeria,40.0,2,294.97538770708854,41.749896,-87.643693,41.749896%2C-87.643693,restaurant
Brewer Coffee and Custard,100.0,1,471.3690061662484,41.749896,-87.643693,41.749896%2C-87.643693,restaurant
The Hoagie Place,70.0,1,475.254534751788,41.749896,-87.643693,41.749896%2C-87.643693,restaurant
Mr J Fish & Chicken,90.0,1,666.4731285229409,41.749896,-87.643693,41.749896%2C-87.643693,restaurant
Norman's Bistro,60.0,2,373.031249413039,41.814697,-87.598006,41.814697%2C-87.598006,restaurant
Italian Fiesta Pizzeria,50.0,2,542.244540227045,41.814697,-87.598006,41.814697%2C-87.598006,restaurant
Gorée Cuisine,90.0,2,547.8787705923266,41.814697,-87.598006,41.814697%2C-87.598006,restaurant
Carver 47 Food & Wellness Market,90.0,2,562.6598789385981,41.814697,-87.598006,41.814697%2C-87.598006,restaurant
Subway,50.0,1,616.8689281004704,41.814697,-87.598006,41.814697%2C-87.598006,restaurant
Just Turkey,60.0,2,673.116195116596,41.814697,-87.598006,41.814697%2C-87.598006,restaurant
The Original Pancake House,80.0,2,676.2422068268165,41.814697,-87.598006,41.814697%2C-87.598006,restaurant
De Rice,70.0,1,695.6832159153425,41.814697,-87.598006,41.814697%2C-87.598006,restaurant
Golden Fish,60.0,1,710.3606705299467,41.814697,-87.598006,41.814697%2C-87.598006,restaurant
Fung's Chop Suey,70.0,1,719.5837590328022,41.814697,-87.598006,41.814697%2C-87.598006,restaurant
Guapo Taco,80.0,1,379.4874999930914,41.805661,-87.683392,41.805661%2C-87.683392,restaurant
Birrieria Jalisco,90.0,1,414.6852956082011,41.805661,-87.683392,41.805661%2C-87.683392,restaurant
Taqueria Jamay,80.0,1,564.2150446068197,41.805661,-87.683392,41.805661%2C-87.683392,restaurant
Piezano's Pizza & Grinder,50.0,1,578.479398438205,41.805661,-87.683392,41.805661%2C-87.683392,restaurant
Back of The Yards Coffeehouse,80.0,1,607.0134537068708,41.805661,-87.683392,41.805661%2C-87.683392,restaurant
El Conde SA,50.0,2,617.2150416190716,41.805661,-87.683392,41.805661%2C-87.683392,restaurant
Pizza Hut,20.0,1,685.1362680967914,41.805661,-87.683392,41.805661%2C-87.683392,restaurant
Subway,40.0,1,685.2827136841422,41.805661,-87.683392,41.805661%2C-87.683392,restaurant
Dulce Mami Cafe,80.0,1,709.2743456541455,41.805661,-87.683392,41.805661%2C-87.683392,restaurant
Burger King,40.0,1,741.7012635623778,41.805661,-87.683392,41.805661%2C-87.683392,restaurant
Life Restaurant,80.0,1,567.3414158336262,41.885409,-87.726491,41.885409%2C-87.726491,restaurant
Taste Bud 1,70.0,1,603.8868672320381,41.885409,-87.726491,41.885409%2C-87.726491,restaurant
Wiley's Chicken and Ribs,70.0,1,617.8137610142047,41.885409,-87.726491,41.885409%2C-87.726491,restaurant
Luigi's Pizza,50.0,1,617.894389443681,41.885409,-87.726491,41.885409%2C-87.726491,restaurant
Burger King,40.0,1,30.0599559680728,41.69239474587557,-87.70096063613892,41.69239474587557%2C-87.70096063613892,restaurant
Rosati's Pizza,50.0,1,52.20123311493151,41.69239474587557,-87.70096063613892,41.69239474587557%2C-87.70096063613892,restaurant
Barraco's Pizza Chicago,60.0,2,277.78610118444743,41.69239474587557,-87.70096063613892,41.69239474587557%2C-87.70096063613892,restaurant
La Fiesta Mexican Restaurant,60.0,2,303.15318342466725,41.69239474587557,-87.70096063613892,41.69239474587557%2C-87.70096063613892,restaurant
Fat Tommy's,90.0,1,317.21861212073844,41.69239474587557,-87.70096063613892,41.69239474587557%2C-87.70096063613892,restaurant
Bacon and Jam,90.0,2,323.59849639394275,41.69239474587557,-87.70096063613892,41.69239474587557%2C-87.70096063613892,restaurant
Tata's Chicago Pizzeria,80.0,1,353.9629114879798,41.69239474587557,-87.70096063613892,41.69239474587557%2C-87.70096063613892,restaurant
Hernandez Burrito Station,60.0,1,878.7878956000677,41.69239474587557,-87.70096063613892,41.69239474587557%2C-87.70096063613892,restaurant
Jiang's Kitchen,60.0,2,902.192445476036,41.69239474587557,-87.70096063613892,41.69239474587557%2C-87.70096063613892,restaurant
Beggars Pizza,50.0,2,943.0356341647824,41.69239474587557,-87.70096063613892,41.69239474587557%2C-87.70096063613892,restaurant
SIR Chicken,50.0,1,403.2035702188633,41.862355,-87.7157109,41.862355%2C-87.7157109,restaurant
Popeyes Louisiana Kitchen,20.0,1,491.35130291010313,41.862355,-87.7157109,41.862355%2C-87.7157109,restaurant
Dave's Red Hots,100.0,1,579.1388576609994,41.862355,-87.7157109,41.862355%2C-87.7157109,restaurant
Star Gyros,60.0,2,622.741258202859,41.862355,-87.7157109,41.862355%2C-87.7157109,restaurant
Taco Bell,50.0,1,684.1460994330417,41.862355,-87.7157109,41.862355%2C-87.7157109,restaurant
