name,popularity,price,rating,distance,latitude,longitude,stationId,totalBikes,poiCat
Inn,9.67,2.0,,36.0,41.765862,-87.614787,0503ab6ec0734343264ef6f2e972c32b,2.0,restaurant
Roy's Soul Food,8.93,1.0,,45.0,41.765862,-87.614787,0503ab6ec0734343264ef6f2e972c32b,2.0,restaurant
Sammy Submarine,,,,69.0,41.765862,-87.614787,0503ab6ec0734343264ef6f2e972c32b,2.0,restaurant
Sunny Submarine,9.97,1.0,,70.0,41.765862,-87.614787,0503ab6ec0734343264ef6f2e972c32b,2.0,restaurant
Gold Post Lounge,,,,180.0,41.765862,-87.614787,0503ab6ec0734343264ef6f2e972c32b,2.0,restaurant
Grand Pa S Barbeque,,,,413.0,41.765862,-87.614787,0503ab6ec0734343264ef6f2e972c32b,2.0,restaurant
Taurus Flavors,,,,548.0,41.765862,-87.614787,0503ab6ec0734343264ef6f2e972c32b,2.0,restaurant
Front Yard Jerk Grille,1.28,2.0,,604.0,41.765862,-87.614787,0503ab6ec0734343264ef6f2e972c32b,2.0,restaurant
The Original Babas,9.59,2.0,63.0,607.0,41.765862,-87.614787,0503ab6ec0734343264ef6f2e972c32b,2.0,restaurant
Baba's Famous Steak & Lemonade,6.74,1.0,,609.0,41.765862,-87.614787,0503ab6ec0734343264ef6f2e972c32b,2.0,restaurant
Mexwall Street,,,,291.0,41.870959,-87.700259,3b5764e0f031bd56d4b7985250805270,8.0,restaurant
Brother's Five,5.11,,,512.0,41.870959,-87.700259,3b5764e0f031bd56d4b7985250805270,8.0,restaurant
Crazy Bird Chicken,,,,528.0,41.870959,-87.700259,3b5764e0f031bd56d4b7985250805270,8.0,restaurant
Joe Willie's Sea Food,,,,575.0,41.870959,-87.700259,3b5764e0f031bd56d4b7985250805270,8.0,restaurant
J & R Express Shrimp,8.94,3.0,,586.0,41.870959,-87.700259,3b5764e0f031bd56d4b7985250805270,8.0,restaurant
Subway,9.21,1.0,70.0,621.0,41.870959,-87.700259,3b5764e0f031bd56d4b7985250805270,8.0,restaurant
J & J Fish,9.71,1.0,,624.0,41.870959,-87.700259,3b5764e0f031bd56d4b7985250805270,8.0,restaurant
Chinese Kitchen,9.67,1.0,,624.0,41.870959,-87.700259,3b5764e0f031bd56d4b7985250805270,8.0,restaurant
McDonald's,9.98,1.0,50.0,677.0,41.870959,-87.700259,3b5764e0f031bd56d4b7985250805270,8.0,restaurant
Sharks Fish & Chicken,9.64,1.0,,678.0,41.870959,-87.700259,3b5764e0f031bd56d4b7985250805270,8.0,restaurant
La Chiquita Bakery,6.26,1.0,,393.0,41.775144,-87.708129,a08a288f5a66216ca4bc4091dd34f94c,15.0,restaurant
La Fogata,2.41,1.0,,395.0,41.775144,-87.708129,a08a288f5a66216ca4bc4091dd34f94c,15.0,restaurant
Burger King,9.94,1.0,54.0,403.0,41.775144,-87.708129,a08a288f5a66216ca4bc4091dd34f94c,15.0,restaurant
La Pilluelita de Michoacán,,,,445.0,41.775144,-87.708129,a08a288f5a66216ca4bc4091dd34f94c,15.0,restaurant
Fast Food El Mexicano,2.08,1.0,,453.0,41.775144,-87.708129,a08a288f5a66216ca4bc4091dd34f94c,15.0,restaurant
The Sandwich Break,,,,463.0,41.775144,-87.708129,a08a288f5a66216ca4bc4091dd34f94c,15.0,restaurant
Bambinos Bakery,,,,493.0,41.775144,-87.708129,a08a288f5a66216ca4bc4091dd34f94c,15.0,restaurant
Pepes Mexican Restaura,9.52,1.0,82.0,510.0,41.775144,-87.708129,a08a288f5a66216ca4bc4091dd34f94c,15.0,restaurant
El Pollo Real #2,,,,527.0,41.775144,-87.708129,a08a288f5a66216ca4bc4091dd34f94c,15.0,restaurant
Subway,9.75,1.0,66.0,559.0,41.775144,-87.708129,a08a288f5a66216ca4bc4091dd34f94c,15.0,restaurant
J & L Lounge,6.52,,,30.0,41.9424235,-87.74713,b7013ce71928ecee4dec9478a2d4fce6,1.0,restaurant
Poncitlan Five,9.56,1.0,,30.0,41.9424235,-87.74713,b7013ce71928ecee4dec9478a2d4fce6,1.0,restaurant
KFC,9.5,1.0,53.0,336.0,41.9424235,-87.74713,b7013ce71928ecee4dec9478a2d4fce6,1.0,restaurant
Delta Restaurant,6.0,,,376.0,41.9424235,-87.74713,b7013ce71928ecee4dec9478a2d4fce6,1.0,restaurant
McDonald's,9.98,1.0,62.0,379.0,41.9424235,-87.74713,b7013ce71928ecee4dec9478a2d4fce6,1.0,restaurant
New Delta Family Restaurant,,,,388.0,41.9424235,-87.74713,b7013ce71928ecee4dec9478a2d4fce6,1.0,restaurant
Chinese Kitchen,9.39,1.0,,389.0,41.9424235,-87.74713,b7013ce71928ecee4dec9478a2d4fce6,1.0,restaurant
Burrito King,8.91,1.0,,392.0,41.9424235,-87.74713,b7013ce71928ecee4dec9478a2d4fce6,1.0,restaurant
Barca,9.26,1.0,,400.0,41.9424235,-87.74713,b7013ce71928ecee4dec9478a2d4fce6,1.0,restaurant
Chico's Sports Bar & Grill,,,,461.0,41.9424235,-87.74713,b7013ce71928ecee4dec9478a2d4fce6,1.0,restaurant
For the Good Times Lounge,9.48,2.0,,203.0,41.791198,-87.671949,b9673e9fa92fb55ee7b244cef5315099,2.0,restaurant
56th st harold Grill and waffles,,,,598.0,41.791198,-87.671949,b9673e9fa92fb55ee7b244cef5315099,2.0,restaurant
Harold's Chicken Shack,9.38,1.0,,609.0,41.791198,-87.671949,b9673e9fa92fb55ee7b244cef5315099,2.0,restaurant
See Thru Chinese Kitchen,9.36,1.0,,708.0,41.791198,-87.671949,b9673e9fa92fb55ee7b244cef5315099,2.0,restaurant
Sea Shell Fish And Chicken,,,,710.0,41.791198,-87.671949,b9673e9fa92fb55ee7b244cef5315099,2.0,restaurant
White Castle,9.51,1.0,55.0,724.0,41.791198,-87.671949,b9673e9fa92fb55ee7b244cef5315099,2.0,restaurant
Seashell Restaurant,9.19,1.0,71.0,739.0,41.791198,-87.671949,b9673e9fa92fb55ee7b244cef5315099,2.0,restaurant
John's Drive In,9.98,2.0,,786.0,41.791198,-87.671949,b9673e9fa92fb55ee7b244cef5315099,2.0,restaurant
Glass House Lounge,9.23,3.0,,23.0,41.749896,-87.643693,2dafe44e5cded67896a11d676345cf4a,1.0,restaurant
Subway,9.55,1.0,67.0,53.0,41.749896,-87.643693,2dafe44e5cded67896a11d676345cf4a,1.0,restaurant
Shark's Fish & Chicken,9.48,3.0,69.0,56.0,41.749896,-87.643693,2dafe44e5cded67896a11d676345cf4a,1.0,restaurant
